timestep,direkt_horizontal_W_m2,diffuse_horizontal_W_m2,temp_amb,global_horizontal_W_m2
702,0,0,1.37,0
703,0,0,1.64,0
704,0,5.72,1.57,5.72
705,0,41.86,2,41.86
706,0,68.07,2.58,68.07
707,11.02,109.75,3.07,120.77
708,70.33,111.04,3.44,181.37
709,85.23,113.27,3.45,198.5
710,124.61,100.86,3.4,225.47
711,21.94,56.27,3.76,78.21
712,71.81,21.54,3.52,93.35
713,0,0,3.31,0
714,0,0,3.15,0
715,0,0,2.78,0
716,0,0,2.55,0
717,0,0,2.42,0
718,0,0,2.11,0
719,0,0,1.86,0
720,0,0,1.72,0
721,0,0,1.71,0
722,0,0,1.78,0
723,0,0,1.55,0
724,0,0,1.47,0
725,0,0,1.48,0
726,0,0,1.6,0
727,0,0,1.48,0
728,0,13.45,1.7,13.45
729,0,49.87,1.74,49.87
730,0,75.56,2.31,75.56
731,2.6,94.81,2.94,97.41
732,8.92,52.56,3.06,61.48
733,6.82,82.43,2.64,89.25
734,32.88,103.12,2.89,136
735,14.19,40.48,3.13,54.67
736,0,5.12,3.08,5.12
737,0,0,3.15,0
738,0,0,3.41,0
739,0,0,3.74,0
740,0,0,3.64,0
741,0,0,3.76,0
742,0,0,3.89,0
743,0,0,3.42,0
744,0,0,2.95,0
745,0,0,2.73,0
746,0,0,2.51,0
747,0,0,2.29,0
748,0,0,2.41,0
749,0,0,2.67,0
750,0,0,2.55,0
751,0,0,2.48,0
752,0,8.81,2.15,8.81
753,0,48.59,2.14,48.59
754,0,74.83,2.57,74.83
755,11.69,97.52,3.42,109.21
756,90.74,122.26,3.89,213
757,50.08,143.11,4.61,193.19
758,3.87,88.45,4.44,92.32
759,7.68,32.24,3.22,39.92
760,21.35,16.49,3.17,37.84
761,0,0,2.97,0
762,0,0,2.61,0
763,0,0,2.84,0
764,0,0,3.18,0
765,0,0,3.07,0
766,0,0,2.76,0
767,0,0,2.77,0
768,0,0,2.6,0
769,0,0,2.62,0
770,0,0,2.4,0
771,0,0,2.45,0
772,0,0,2.32,0
773,0,0,2.37,0
774,0,0,2.35,0
775,0,0,2.24,0
776,0,18.04,2.55,18.04
777,0,66.66,2.69,66.66
778,0,88.63,3.01,88.63
779,1.81,121.19,3.2,123
780,32.46,118.75,3.23,151.21
781,46.1,124.98,3.3,171.08
782,34.09,101.28,3.61,135.37
783,7.86,59.38,3.6,67.24
784,7.88,20.26,3.47,28.14
785,0,0,2.88,0
786,0,0,2.56,0
787,0,0,2.44,0
788,0,0,2.19,0
789,0,0,2.14,0
790,0,0,2.11,0
791,0,0,2.43,0
792,0,0,3.19,0
793,0,0,4.29,0
794,0,0,4.98,0
795,0,0,5.3,0
796,0,0,5.45,0
797,0,0,5.54,0
798,0,0,5.62,0
799,0,0,5.69,0
800,0,5.96,5.7,5.96
801,0,19.6,5.79,19.6
802,0,29.95,5.92,29.95
803,0,36.12,6.12,36.12
804,0,44.63,6.35,44.63
805,0.66,39.48,6.47,40.14
806,10.64,93.07,6.55,103.71
807,30.12,67.77,6.58,97.89
808,8.29,19.95,6.26,28.24
809,0,0,5.74,0
810,0,0,5.43,0
811,0,0,5.27,0
812,0,0,4.39,0
813,0,0,4.18,0
814,0,0,4.27,0
815,0,0,4.3,0
816,0,0,4.36,0
817,0,0,4.23,0
818,0,0,3.92,0
819,0,0,3.22,0
820,0,0,2.24,0
821,0,0,1.52,0
822,0,0,0.71,0
823,0,0,0.32,0
824,0,18.76,0.13,18.76
825,0,56.6,0.2,56.6
826,0,74.99,1.12,74.99
827,14.31,99.95,1.65,114.26
828,29.77,135.31,2,165.08
829,77.03,135.19,2.24,212.22
830,31.69,104.98,2.45,136.67
831,45.69,68.38,2.45,114.07
832,73.94,24.77,2.25,98.71
833,0,0,1.87,0
834,0,0,1.03,0
835,0,0,-0.17,0
836,0,0,-2.09,0
837,0,0,-2.75,0
838,0,0,-2.42,0
839,0,0,-2.6,0
840,0,0,-2.94,0
841,0,0,-4,0
842,0,0,-4.52,0
843,0,0,-4.37,0
844,0,0,-4.46,0
845,0,0,-4.82,0
846,0,0,-4.48,0
847,0,0,-4.82,0
848,0,20.65,-4.43,20.65
849,0,57.2,-2.89,57.2
850,0,68.99,-1.33,68.99
851,5.41,92.98,-0.66,98.39
852,21.73,114.6,0,136.33
853,40.76,117.44,0.57,158.2
854,22.14,70.77,0.97,92.91
855,61.79,58.28,0.73,120.07
856,86.12,34.01,0.53,120.13
857,0,0,0.12,0
858,0,0,-0.39,0
859,0,0,-0.68,0
860,0,0,-0.97,0
861,0,0,-1.75,0
862,0,0,-2.98,0
863,0,0,-2.55,0
864,0,0,-1.85,0
865,0,0,-1.56,0
866,0,0,-1.29,0
867,0,0,-1.03,0
868,0,0,-0.72,0
869,0,0,-0.47,0
870,0,0,-0.2,0
871,0,0,-0.07,0
872,0,18.27,0.04,18.27
873,0,54.7,0.07,54.7
874,0,97.89,0.15,97.89
875,5.85,139.47,0.54,145.32
876,18,144.41,0.86,162.41
877,61.65,116.93,1.11,178.58
878,22.02,89.14,1.15,111.16
879,14.39,52.73,0.94,67.12
880,9.29,15.62,0.62,24.91
881,0,0,0.13,0
882,0,0,-0.27,0
883,0,0,-0.56,0
884,0,0,-1.33,0
885,0,0,-1.74,0
886,0,0,-2.42,0
887,0,0,-2.63,0
888,0,0,-3.06,0
889,0,0,-3.53,0
890,0,0,-4.14,0
891,0,0,-4.58,0
892,0,0,-5.23,0
893,0,0,-5.16,0
894,0,0,-5.76,0
895,0,0,-6.28,0
896,0,24.47,-5.64,24.47
897,0,57.52,-4.44,57.52
898,0,92.58,-3.65,92.58
899,56.69,66.11,-2.56,122.8
900,201.33,84.2,-1.17,285.53
901,314.51,100.24,-0.06,414.75
902,365.67,109.81,0.6,475.48
903,322.67,106.15,0.79,428.82
904,187.67,60.8,0.38,248.47
905,0,0,-0.65,0
906,0,0,-2.24,0
907,0,0,-3.82,0
908,0,0,-4.78,0
909,0,0,-5.03,0
910,0,0,-4.41,0
911,0,0,-3.86,0
912,0,0,-3.93,0
913,0,0,-3.99,0
914,0,0,-4.07,0
915,0,0,-4.36,0
916,0,0,-5.24,0
917,0,0,-5.78,0
918,0,0,-6.06,0
919,0,0,-6,0
920,0,22.43,-6.46,22.43
921,0,46.21,-5.08,46.21
922,0,59.13,-3.04,59.13
923,63.42,60.52,-1.1,123.94
924,209.96,83.54,0.43,293.5
925,326.56,101,1.42,427.56
926,375.82,114.66,1.92,490.48
927,363.53,106.27,1.94,469.8
928,241.85,71.4,1.22,313.25
929,0,0,-0.48,0
930,0,0,-2.14,0
931,0,0,-2.97,0
932,0,0,-3.71,0
933,0,0,-4.07,0
934,0,0,-4.42,0
935,0,0,-4.96,0
936,0,0,-5.54,0
937,0,0,-5.32,0
938,0,0,-5.5,0
939,0,0,-5.5,0
940,0,0,-5.35,0
941,0,0,-5.59,0
942,0,0,-6.09,0
943,0,0,-6.41,0
944,0,24.15,-7.18,24.15
945,0,51.44,-5.42,51.44
946,0,66.46,-2.89,66.46
947,60.31,76.26,-1.28,136.57
948,174.41,117.65,-0.07,292.06
949,284.13,127.79,0.87,411.92
950,353.37,126.53,1.45,479.9
951,270.32,125.67,1.62,395.99
952,109.23,67.67,1.01,176.9
953,0,0,-0.57,0
954,0,0,-1.9,0
955,0,0,-2.23,0
956,0,0,-2.5,0
957,0,0,-2.81,0
958,0,0,-3,0
959,0,0,-2.86,0
960,0,0,-2.61,0
961,0,0,-1.89,0
962,0,0,-0.99,0
963,0,0,-0.94,0
964,0,0,-0.61,0
965,0,0,-1.18,0
966,0,0,-1.03,0
967,0,0,-0.74,0
968,0,27.33,-1.07,27.33
969,0,60.7,-0.3,60.7
970,0,75.84,0.89,75.84
971,45.05,96.12,2.47,141.17
972,169.68,103.21,3.31,272.89
973,287.18,116.26,3.9,403.44
974,312.09,128.31,4.26,440.4
975,352.04,105.07,4.11,457.11
976,119.05,65.46,3.44,184.51
