timestep,temperature,heat demand,demand_el,pv,collector_heat
204,6.16,4.003885478,472.7085883,0.076504871,45.1962221
205,6.4,3.939007704,322.3750233,0.070254869,64.04138822
206,6.67,3.939007704,260.3363933,0.03065574,52.81599097
207,6.72,4.059494999,266.602395,0.023282556,0
208,6.18,4.263396574,422.866805,0.006392576,0
209,5.72,4.467298149,248.0235667,0,0
210,5.4,4.745345752,705.8717917,0,0
211,5.25,4.865833047,680.8130833,0,0
212,5.5,4.8751013,465.5134867,0,0
213,5.41,4.634126711,374.996845,0,0
214,5.05,3.985348971,236.9266383,0,0
215,4.57,2.669256986,176.03965,0,0
216,4.35,2.001942739,133.6580733,0,0
217,4.24,2.0163222,113.3673233,0,0
218,4.19,2.120256334,150.12564,0,0
219,4.19,2.224190468,141.2258717,0,0
220,4.2,2.556779697,155.5896017,0,0
221,4.36,3.461006663,144.3647367,0,0
222,4.35,5.113559394,144.1349633,0,0
223,4.3,6.47509655,119.159105,0,0
224,4.33,5.996999534,129.938765,0,0
225,4.4,5.46693545,89.375355,0,0
226,4.63,5.0408055,430.4067033,0.019736854,0
227,4.93,4.666642618,816.85983,0.052986481,4.972424522
228,5.32,4.48995459,292.348515,0.052449987,47.91592671
229,5.53,4.417200696,281.2781467,0.051246232,37.38953075
230,5.52,4.417200696,389.0277867,0.044325969,44.10052741
231,5.59,4.552315071,85.190455,0.026109601,11.43503788
232,5,4.780970165,197.7185283,0.002474596,0
233,4.22,5.00962526,399.9105883,0,0
234,3.95,5.321427662,629.2619683,0,0
235,3.75,5.456542037,615.9634167,0,0
236,3.84,5.46693545,632.3513533,0,0
237,3.91,5.196706702,368.7319917,0,0
238,4.08,4.469167763,181.473295,0,0
239,4.07,2.99330306,145.4681283,0,0
240,4.02,2.244977295,115.9731133,0,0
241,4.05,1.931017551,101.0590733,0,0
242,3.98,2.030554538,137.9590533,0,0
243,4.29,2.130091525,129.925945,0,0
244,4.75,2.448609884,125.6411767,0,0
245,5.25,3.314581672,152.434505,0,0
246,5.76,4.897219768,138.3263033,0,0
247,6.34,6.2011543,126.4534983,0,0
248,6.16,5.743284159,144.8504617,0,0
249,6.67,5.235645525,104.0201267,0,0
250,7.08,4.827543877,651.0049517,0.001057261,0
251,7.46,4.469210724,433.54371,0.009728314,0
252,7.8,4.299997845,508.88645,0.010288176,0
253,8.01,4.230321954,632.9380267,0.009146838,0
254,8.08,4.230321954,532.485005,0.006004504,0
255,8.1,4.359720038,607.2441667,0.003777431,0
256,7.85,4.578701409,383.4489567,0.00094613,0
257,7.23,4.797682781,149.8174983,0,0
258,6.41,5.096293743,388.5970583,0,0
259,5.86,5.225691826,471.074865,0,0
260,5.94,5.235645525,418.7083883,0,0
261,5.63,4.976849358,500.3430483,0,0
262,5.29,4.280090448,248.3501283,0,0
263,5.16,2.86666523,147.8416333,0,0
264,4.81,2.149998923,119.5683533,0,0
265,4.73,1.797764588,121.2005683,0,0
266,5.01,1.890432866,143.3005083,0,0
267,5.46,1.983101143,149.375735,0,0
268,5.55,2.279639632,154.362655,0,0
269,5.9,3.085853648,183.4441967,0,0
270,6.06,4.559279264,132.8562567,0,0
271,6.24,5.773233703,147.4732567,0,0
272,6.71,5.346959625,129.447125,0,0
273,6.74,4.874351409,124.9041733,0,0
274,6.71,4.49441147,187.0001517,0.012744167,0
275,6.67,4.16080567,268.69502,0.026358119,0
276,6.76,4.003269598,336.3332217,0.029128631,0
277,7,3.938401804,763.3478417,0.020382946,0
278,7.35,3.938401804,695.7193967,0.02098985,0
279,7.61,4.058870565,151.9343367,0.011281376,0
280,7.78,4.262740776,181.21379,0,0
281,7.88,4.466610987,569.790695,0,0
282,7.94,4.74461582,361.1789833,0,0
283,7.96,4.865084581,263.9605467,0,0
284,8.08,4.874351409,400.8856183,0,0
285,8.13,4.633413887,646.0202883,0,0
286,8.19,3.984735942,341.8880283,0,0
287,8.23,2.668846399,117.8629417,0,0
288,8.24,2.001634799,122.2612283,0,0
289,8.21,1.698619619,111.0924333,0,0
290,8.32,1.786177332,101.11743,0,0
291,8.38,1.873735044,139.6674867,0,0
292,8.45,2.153919724,156.7192583,0,0
293,8.53,2.915671821,171.1259217,0,0
294,8.22,4.307839447,129.989635,0,0
295,7.99,5.454845479,165.2933317,0,0
296,7.88,5.052080002,132.7186717,0,0
297,7.68,4.605535669,97.08393667,0,0
298,7.54,4.246549049,282.0438333,0.012026722,0
299,7.6,3.931341284,512.5753517,0.050393424,11.64290828
300,7.82,3.782493173,515.29673,0.053059657,93.78088402
301,7.93,3.721202775,438.7283717,0.014899319,142.486315
302,7.76,3.721202775,296.3533883,0,88.77703295
303,7.41,3.835027801,172.5942883,0.00981281,32.6531068
304,6.81,4.027654768,173.523535,0,0
305,6.18,4.220281735,196.8354817,0,0
306,6.16,4.482954872,545.98211,0,0
307,6.2,4.596779898,591.2505133,0,0
308,5.71,4.605535669,762.56382,0,0
309,5.24,4.377885617,851.08699,0,0
310,5.3,3.764981631,311.0549917,0,0
311,5.51,2.521662115,164.2679617,0,0
312,5.47,1.891246587,130.3209833,0,0
313,5.52,1.76338112,126.6423583,0,0
314,5.16,1.854277054,135.150885,0,0
315,5.13,1.945172988,150.0259633,0,0
316,5.04,2.236039976,162.65113,0,0
317,5,3.026834602,156.9596183,0,0
318,4.92,4.472079953,142.665025,0,0
319,4.75,5.662816688,144.2705833,0,0
320,4.13,5.244695392,124.0588033,0,0
321,4.05,4.781126128,82.77745167,0,0
322,4.51,4.408452799,408.2421267,0.033922491,0
323,5.18,4.081227437,392.6503617,0.063826856,13.13237594
324,5.91,3.926704349,370.7285717,0.086110798,0
325,6.11,3.863077195,346.2283033,0.060863051,0
326,6.09,3.863077195,416.227995,0.019522606,0
327,6.18,3.981241909,331.7439883,0.014070143,0
328,6.48,4.181212964,268.48059,0.001218893,0
329,6.86,4.381184019,586.4153267,0,0
330,7.14,4.653871821,371.1740083,0,0
331,7.41,4.772036535,499.958805,0,0
332,7.42,4.781126128,864.6150117,0,0
333,7.59,4.5447967,525.3150283,0,0
334,7.86,3.908525162,341.7436133,0,0
335,8.19,2.617802899,148.875195,0,0
336,8.62,1.963352174,149.52119,0,0
337,8.89,1.893020488,124.258985,0,0
338,9.02,1.990598863,137.43429,0,0
339,8.92,2.088177239,131.8343783,0,0
340,8.33,2.400428041,132.7760583,0,0
341,6.81,3.249359909,139.3846917,0,0
342,5.55,4.800856082,113.7986417,0,0
343,4.79,6.079132803,123.3535767,0,0
344,4.76,5.630272275,98.65191833,0,0
345,4.66,5.132622559,102.4220117,0,0
346,4.74,4.732551219,216.0316383,0.030871478,2.564482954
347,4.9,4.381269067,319.5001017,0.074470336,26.2150224
348,4.99,4.215385828,411.0530783,0.100138994,24.1600911
349,5.05,4.147080965,464.6812017,0.088713558,21.90230622
350,5.13,4.147080965,590.835935,0.078792214,87.977375
351,5.26,4.273932854,458.0456483,0.005063905,46.04252218
352,5.02,4.48860528,273.1538333,0,0
353,4.47,4.703277706,283.5370633,0,0
354,4.22,4.996012833,848.1611133,0,0
355,3.93,5.122864722,641.55297,0,0
356,3.86,5.132622559,394.713515,0,0
357,3.68,4.878918783,781.2952067,0,0
358,3.42,4.195870153,356.7822217,0,0
359,3.15,2.810257219,180.8938633,0,0
360,2.91,2.107692914,131.9570867,0,0
361,2.73,2.561964823,125.1757867,0,0
362,2.47,2.618395766,141.84254,0,0
363,2.24,2.708685275,151.3591733,0,0
364,2.25,2.92312286,176.3674933,0,0
365,2.14,3.577721801,164.9977433,0,0
366,2.13,5.157788212,147.94636,0,0
367,1.84,6.489558472,138.8748233,0,0
368,1.62,6.09454187,134.2854433,0,0
369,2.13,5.812387153,101.0755533,0,0
370,2.69,5.530232437,171.470405,0.036484563,0
371,3.33,5.236791532,364.341745,0.066930748,19.47479585
372,4.12,5.056212514,110.0534617,0.079619068,63.5738881
373,4.65,4.954636816,599.8030917,0.097465473,68.11285646
374,5.06,4.977209194,404.811655,0.085587685,22.62422514
375,4.93,5.067498703,143.2275367,0.053861176,0
376,4.8,5.236791532,523.7619617,0.016658384,0
377,4.48,5.451229117,585.551825,0,0
378,4.33,5.665666701,646.275445,0,0
379,3.84,5.722097644,668.14376,0,0
380,3.85,5.699525267,836.2182367,0,0
381,3.57,5.428656739,626.7681167,0,0
382,3.01,4.796630175,303.7735,0,0
383,2.72,3.385856594,151.5612333,0,0
384,2.74,2.708685275,115.95474,0,0
385,2.65,3.023840147,107.8173367,0,0
386,2.58,3.090444556,142.8672733,0,0
387,2.44,3.197011609,138.5760867,0,0
388,2.01,3.450108362,139.0929233,0,0
389,1.84,4.222719501,140.901525,0,0
390,1.65,6.087642939,120.4868067,0,0
391,1.29,7.65950698,121.5904983,0,0
392,0.91,7.193276121,140.1438567,0,0
393,0.7,6.860254078,105.262405,0,0
394,0.9,6.527232036,167.874335,0.030426174,0
395,1.54,6.180889111,473.92556,0.059200227,0.364611589
396,1.96,5.967755004,493.6583083,0.04652783,83.62759889
397,2.28,5.847867069,616.00448,0.020342119,121.9079039
398,2.45,5.874508832,369.00341,0,104.820002
399,2.39,5.981075886,141.0212517,0,30.74565575
400,1.78,6.180889111,334.1272633,0,0
401,0.68,6.433985864,571.400565,0,0
402,0.53,6.687082616,873.42868,0,0
403,-0.02,6.753687025,1073.564537,0,0
404,-0.41,6.727045261,593.6950683,0,0
405,-1.11,6.4073441,743.5051417,0,0
406,-1.39,5.661374725,355.0288917,0,0
407,-1.48,3.996264512,148.59704,0,0
408,-2.04,3.197011609,121.7267283,0,0
409,-2.67,4.08378658,122.7592233,0,0
410,-3,4.163237681,144.62581,0,0
411,-2.92,4.306249662,149.58432,0,0
412,-2.92,4.560493185,137.25949,0,0
413,-3.01,5.370894413,164.6444667,0,0
414,-3.07,6.975806649,161.9211333,0,0
415,-3.12,8.660169985,147.63688,0,0
416,-3.2,8.088122059,147.300185,0,0
417,-2.9,7.976890518,113.7937583,0,0
418,-1.33,7.722646996,107.660105,0.038204194,0
419,0.18,7.436623033,540.9881333,0.079254781,7.645645965
420,1.07,7.11881863,569.82144,0.073765632,74.29903775
421,1.63,7.007587089,436.92961,0.030861753,131.8552865
422,1.85,6.975806649,202.536455,0,118.3991752
423,1.5,7.182379511,59.32927167,0,46.63676451
424,0.36,7.341281712,248.4555883,0,0
425,-1.07,7.690866556,460.64204,0,0
426,-2.43,7.786207877,732.73335,0,0
427,-3.42,7.817988317,414.6317817,0,0
428,-4.17,7.690866556,392.68524,0,0
429,-4.55,7.341281712,728.9012367,0,0
430,-4.75,6.499100044,366.7014,0,0
431,-4.62,4.925968248,155.1061183,0,0
432,-4.15,4.210908341,123.71774,0,0
433,-3.58,4.275817946,124.9592067,0,0
434,-3.31,4.359005065,167.8921467,0,0
435,-3.05,4.508741881,161.8505817,0,0
436,-2.79,4.774940663,132.79469,0,0
437,-2.6,5.623449283,132.0213867,0,0
438,-2.42,7.303829098,141.438,0,0
439,-2.23,9.067396033,116.9722633,0,0
440,-1.42,8.468448772,101.80544,0,0
441,-1.1,8.351986804,83.13575,0,0
442,-0.67,8.085788022,216.5370233,0.039859652,0
443,-0.19,7.786314391,242.2954017,0.057093143,13.15054141
444,0.24,7.453565913,685.2784533,0.089527553,44.58061867
445,0.33,7.337103946,530.4731333,0.055551214,29.06692839
446,0.09,7.303829098,243.4951083,0.041268604,0
447,-0.15,7.520115609,60.98300833,0.047766579,0
448,-0.49,7.686489848,131.8073,0.027161566,0
449,-1,8.052513174,504.237375,0,0
450,-1.21,8.152337718,861.363845,0,0
